 mid, username, rpid, gender, content, ctime, likes, rcount
34536386,蛇皮怪大表哥,1979789869,男,全体起立，给西片到一杯卡布奇诺。[doge],2019-09-23 16:38:53,1,0
26014727,老玛吉,1979788880,保密,最后一集给我的感觉和之前的完全不一样。太细腻了。高木同学的静美更突出了一些。最后走散寻找的两个人的场景虽然俗套，可是表现的真太好了。内心焦急，炽热，可是表面上看上去还是很平静。这是让我深深沉迷的感觉。感谢！,2019-09-23 16:36:48,1,0
25595260,初春珏陽,1979784769,保密,没有高木同学看我要死了[大哭][大哭][大哭][大哭][大哭][大哭][大哭],2019-09-23 16:36:06,1,0
225258922,我欲一人行去到自在世,1979788321,保密,静待第三季，继续吃狗粮,2019-09-23 16:35:39,1,0
13047126,关着小哥的油瓶,1979788090,保密,还有结婚生女儿的小千线，坐等不慌,2019-09-23 16:35:11,1,0
161150596,HGAvicii,1979788061,保密,为毛插曲网易云音乐没有啊哭了[大哭][大哭],2019-09-23 16:35:07,1,1
57247336,仨Wdian,1979784588,男,b站就能听,2019-09-23 16:35:44,0,0
2331991,丷御坂妹妹丷,1979792159,保密,第一季的结尾做的更精彩,2019-09-23 16:34:53,1,1
301381557,名字即未来,1979796435,女,这不是第二季吗,2019-09-23 16:39:35,0,0
13152490,Van闻FA鸣,1979787354,男,两人性别对调 方为绝妙[doge],2019-09-23 16:33:35,1,0
357425785,欤欤欤诶,1979787324,保密,人生赢家,2019-09-23 16:33:32,1,0
399395126,喜欢悠哉游哉独自在,1979787155,男,第三季一定要有啊,2019-09-23 16:33:10,1,0
28541294,天外飞翔丶,1979787129,保密,整部动漫太甜了，所以我就不看完了，这样就算是永不完结了,2019-09-23 16:33:07,1,0
11578805,小智君517742,1979783137,男,心中真正的7月霸权番！完结撒花！最后一集正的令人感动！,2019-09-23 16:32:41,1,0
221235979,巫山雨云,1979786887,保密,夏祭是漫画哪里啊？,2019-09-23 16:32:38,1,1
57247336,仨Wdian,1979792163,男,原创的,2019-09-23 16:34:53,0,0
159329386,星空の远航,1979781736,保密,请容我说一句：去死吧，现充,2019-09-23 16:29:51,1,0
29310137,半糖五分甜,1979780875,保密,真好呀，期待有一天我也能遇见那个让我心动，让我主动出击的他[罗小黑_吃瓜],2019-09-23 16:28:00,1,0
327270234,杨LPN,1979774313,保密,太甜了！bgm也很应景[支持],2019-09-23 16:27:11,1,0
8420842,加藤惠1314,1979780428,保密,哈哈，看到很多人都希望出第三季。我也想。但是漫画原作进度跟不上啊。第三季要隔一段时间吧。如果制作组弄原创算我没说啦,2019-09-23 16:27:02,1,0
267396819,kater的粉匕首,1979780085,男,上面啊！上面！  听到的时候我真的哭了,2019-09-23 16:26:22,1,0
433502965,92914214788_bili,1979776611,保密,木村真男人,2019-09-23 16:22:07,1,0
292656666,yd零星,1979770530,男,完结撒花，真是美好啊[微笑],2019-09-23 16:19:15,1,0
64229,姫榊小桃桃,1979766537,男,众里寻他千百度，那人却在灯（烟）火（花）阑珊处←ed前的那一段，我突然想起这个，好像很贴切诶（￣▽￣）,2019-09-23 16:18:47,1,0
5438420,tAhNiDs,1979766483,男,为什么远境这么崩坏啊,2019-09-23 16:18:41,1,0
84523449,芋の微笑み好きSAMA,1979759387,保密,怎么也想不出他俩怎么出千能，弄个害羞，不得行啊。,2019-09-23 16:16:47,1,0
1838107,叶已落,1979765204,保密,第三季在哪 我要看第三季,2019-09-23 16:15:58,1,0
15167681,嗝菳晏蕾,1979754173,保密,我他妈看哭了,2019-09-23 16:13:48,1,0
6978688,爱吃果冻的丫子,1979753865,保密,真的哭了,2019-09-23 16:13:06,1,0
3230784,逍遥心,1979756712,男,好甜，好酸,2019-09-23 16:10:38,1,0
307040715,你的西片同学,1979760857,保密,为了这部让我不忍的番首冲年会[doge]所以甜甜的恋爱什么时候才轮到我呢,2019-09-23 16:09:14,1,0
2947875,正直少年辉夜酱,1979760834,保密,永远不要小看眯眯眼,2019-09-23 16:09:11,1,0
11596086,酱油C君,1979755591,女,呜呜呜真是太好了,2019-09-23 16:07:55,1,0
37006746,绯红之瞳kin,1979750253,男,第三季 第三季！[小电视_太太喜欢],2019-09-23 16:05:08,1,0
1824617,ZadkingLee,1979743501,保密,为什么只能投一个币啊，给你给你都给你！！,2019-09-23 16:02:54,1,0
327270234,杨LPN,1979743026,保密,来了来了！[画风突变],2019-09-23 16:01:48,1,0
29345272,绿叶阡陌,1979746614,女,什么时候出千呢[惊喜][惊喜][惊喜][惊喜],2019-09-23 16:00:09,1,0
38145295,布鲁斯朋克,1979737731,保密,从pv开始，到最后一集，终于牵手了！,2019-09-23 15:59:33,1,0
330726275,筱-魂淡,1979745863,保密,看时候开心，看完后窝心。TM我女朋友呢[2233娘_郁闷],2019-09-23 15:58:29,1,1
